4183,4172,4301,4302,4303,4217,4181,4184,4177,4174,4178,4173,4179,4182
,,,,,,,171; 182; ,,,,,,89; 
,,,,,,180,89,191;263;8;127,135;24;218,118;24;35,234;73,20; 263,247;45;187
,,,,,,,191; 171; 199,48;49;135;182,24;92,124; 127; 106,,182,187;89
,6,239; 56; 37; 246; 80; 63; 249,131; 256 ,131; 103; 227,,180,89; 191; 171; 199; 234; 118,263; 124,182;218;35,127; 135,,,187
,6,,256,,,,234; 118,124; 127,,8;20,182; 288; 171,,89; 187
,6,249; 63,,103,,,171; 35;182;124,191,20,124,,182,89; 187
56; 284; 163; 104; 86,274; 113; 116; 6; 108,239; 119; 219; 37;39; 246; 249; 80; 63,131; 256; 33; 125,112; 78; 103,227; 7,180,,,,,,,
,,,,,,,,89,8; 20,118; 124; 127; 106; 89,,89; 234; 182; ,89; 187
131; 112,274,131,274,131,274,,,,,118; 124; 127,,234,89; 187
,6,249; 63; 246; 37,,227; 108,6,180,191; 135; 118,118; 127; 124,20; 8,124,,182; 92,89; 187
,6,246; 249; 63,116; 6; 108,103; 227,,,48;92;171;191,,,124;106;20;118,,,
,6,246; 249; 63; 239; 56; 37,,,,,191; 171; 199; 182,127;124;,20;,135; 117; 118; 124; 127; 106,,234; 182,89; 187
,,246; 249; 63; 37; 239,274; 119; 33; ,112; 274,,180,191; 182,89,,,,,89
,6,37; 249; 63,,103,,,234; 117,48;52;73;,20,118;182;8,89,,187
131,33;78;104,246;63;284,86;7;112,80;78,113; 246,180,,,,,,20,89; 187
,6,63; 249; 246; 37,,,6,180,171; 182; ,,,,,,89; 
,,,,,,,89,191;263;8;127,135;24;218,118;24;35,234;73,20; 263,247;45;187
,274;6;,239;37;39;284;246;63,163;104;249;86,113; 103; 227,,116; 180,191; 171; 199,48;49;135;182,24;92,124; 127; 106,,182,187;89
,6,63;239;119;37;246,,103,6,180,89; 191; 171; 199; 234; 118,263; 124,182;218;35,127; 135,,,187
131; 108,256; 6; 274,239; 37; 246; 249; 80; 63,,86; 274,6,180,234; 118,124; 127,,8;20,182; 288; 171,,89; 187
,6,239;37;246;63,219,,,,171; 35;182;124,191,20,124,,182,89; 187
103; 163,6,119;249;63,256;108;78,131;274;112;108;86;289,6,180,,,,,,,
,6,227; 63,,103; 274,6,180,,89,8; 20,118; 124; 127; 106; 89,,89; 234; 182; ,89; 187
284; 125; 103; 104; 116; 108,6,246;249;37;80;63,131;227;,274,,180,,,,118; 124; 127,,234,89; 187
,,,,,,,191; 135; 118,118; 127; 124,20; 8,124,,182; 92,89; 187
104; 125,6,37; 39; 246; 249; 63; 239; 56,256; 116,274; 103; 227,,180,48;92;171;191,,,124;106;20;118,,,
,116; 119; 219,249;80;63;246;37,256,274,,,191; 171; 199; 182,127;124;,20;,135; 117; 118; 124; 127; 106,,234; 182,89; 187
,274; 116; 6; 108,163;104;249;63;119;219,256; 108,274,180,116; 180,191; 182,89,,,,,89
,,,,,,,234; 117,48;52;73;,20,118;182;8,89,,187
